Stock,yr,ct,bt
Katsuwonus_pelamis_711,2011,6000,NA
Katsuwonus_pelamis_711,2012,1612000,NA
Katsuwonus_pelamis_711,2013,217000,NA
Katsuwonus_pelamis_711,2014,147000,NA
Katsuwonus_pelamis_711,2015,5392000,NA
Katsuwonus_pelamis_711,2016,1456000,NA
Katsuwonus_pelamis_711,2017,11690581,NA
Katsuwonus_pelamis_711,2018,2151889,NA
Katsuwonus_pelamis_711,2019,846011,NA
Katsuwonus_pelamis_711,2020,124527,NA
Katsuwonus_pelamis_711,2021,218648,NA
Katsuwonus_pelamis_711,2022,213650,NA
Cucut_Botol_711,2005,1623000,NA
Cucut_Botol_711,2006,1255000,NA
Cucut_Botol_711,2007,827000,NA
Cucut_Botol_711,2008,1169000,NA
Cucut_Botol_711,2009,974000,NA
Cucut_Botol_711,2010,491000,NA
Cucut_Botol_711,2011,569000,NA
Cucut_Botol_711,2012,919000,NA
Cucut_Botol_711,2013,922000,NA
Cucut_Botol_711,2014,121000,NA
Cucut_Botol_711,2015,172000,NA
Cucut_Botol_711,2016,52000,NA
Cucut_Botol_711,2017,2885,NA
Cucut_Lanyam_711,2005,3115000,NA
Cucut_Lanyam_711,2006,5809000,NA
Cucut_Lanyam_711,2007,3264000,NA
Cucut_Lanyam_711,2008,5704000,NA
Cucut_Lanyam_711,2009,6753000,NA
Cucut_Lanyam_711,2010,4269957,NA
Cucut_Lanyam_711,2011,3839000,NA
Cucut_Lanyam_711,2012,4795000,NA
Cucut_Lanyam_711,2013,4053000,NA
Cucut_Lanyam_711,2014,4547000,NA
Cucut_Lanyam_711,2015,1855000,NA
Cucut_Lanyam_711,2016,1565000,NA
Cucut_Tikus_Cucut_Monyet_711,2005,1695000,NA
Cucut_Tikus_Cucut_Monyet_711,2006,54000,NA
Cucut_Tikus_Cucut_Monyet_711,2007,2757000,NA
Cucut_Tikus_Cucut_Monyet_711,2008,252000,NA
Cucut_Tikus_Cucut_Monyet_711,2009,214000,NA
Cucut_Tikus_Cucut_Monyet_711,2010,851000,NA
Cucut_Tikus_Cucut_Monyet_711,2011,979000,NA
Cucut_Tikus_Cucut_Monyet_711,2012,614000,NA
Cucut_Tikus_Cucut_Monyet_711,2013,1582000,NA
Cucut_Tikus_Cucut_Monyet_711,2014,1466000,NA
Cucut_Tikus_Cucut_Monyet_711,2015,46000,NA
Cucut_Tikus_Cucut_Monyet_711,2016,3000,NA
Istiophorus_platypterus_711,2005,54000,NA
Istiophorus_platypterus_711,2006,647000,NA
Istiophorus_platypterus_711,2007,963000,NA
Istiophorus_platypterus_711,2008,1086000,NA
Istiophorus_platypterus_711,2009,1959000,NA
Istiophorus_platypterus_711,2010,507000,NA
Istiophorus_platypterus_711,2011,670000,NA
Istiophorus_platypterus_711,2012,717000,NA
Istiophorus_platypterus_711,2013,678000,NA
Istiophorus_platypterus_711,2014,747000,NA
Istiophorus_platypterus_711,2015,971000,NA
Istiophorus_platypterus_711,2016,762000,NA
Istiophorus_platypterus_711,2017,296845,NA
Coryphaena_hippurus_711,2011,19000,NA
Coryphaena_hippurus_711,2012,381000,NA
Coryphaena_hippurus_711,2013,81000,NA
Coryphaena_hippurus_711,2014,6000,NA
Coryphaena_hippurus_711,2015,1956000,NA
Coryphaena_hippurus_711,2016,1205000,NA
Coryphaena_hippurus_711,2017,26727,NA
Coryphaena_hippurus_711,2018,660677,NA
Coryphaena_hippurus_711,2019,401774,NA
Coryphaena_hippurus_711,2020,5026,NA
Coryphaena_hippurus_711,2021,6554,NA
Coryphaena_hippurus_711,2022,32326,NA
Coryphaena_hippurus_711,2023,11151,NA
Coryphaena_hippurus_711,2024,105560,NA
Istiompax_indica_711,2006,50000,NA
Istiompax_indica_711,2007,45000,NA
Istiompax_indica_711,2008,30000,NA
Istiompax_indica_711,2009,127000,NA
Istiompax_indica_711,2010,35000,NA
Istiompax_indica_711,2011,5000,NA
Istiompax_indica_711,2012,114000,NA
Istiompax_indica_711,2013,143000,NA
Istiompax_indica_711,2014,14000,NA
Istiompax_indica_711,2015,2219000,NA
Istiompax_indica_711,2016,1691000,NA
Scomberomorus_commerson_711,2005,43762000,NA
Scomberomorus_commerson_711,2006,31282000,NA
Scomberomorus_commerson_711,2007,30563000,NA
Scomberomorus_commerson_711,2008,36354000,NA
Scomberomorus_commerson_711,2009,33026000,NA
Scomberomorus_commerson_711,2010,37794000,NA
Scomberomorus_commerson_711,2011,39853000,NA
Scomberomorus_commerson_711,2012,35853000,NA
Scomberomorus_commerson_711,2013,40968000,NA
Scomberomorus_commerson_711,2014,42777000,NA
Scomberomorus_commerson_711,2015,31009000,NA
Scomberomorus_commerson_711,2016,23281000,NA
Scomberomorus_commerson_711,2017,25904500,NA
Scomberomorus_guttatus_711,2005,6402000,NA
Scomberomorus_guttatus_711,2006,3150000,NA
Scomberomorus_guttatus_711,2007,5630000,NA
Scomberomorus_guttatus_711,2008,5375000,NA
Scomberomorus_guttatus_711,2009,4090000,NA
Scomberomorus_guttatus_711,2010,6915000,NA
Scomberomorus_guttatus_711,2011,6598000,NA
Scomberomorus_guttatus_711,2012,5409000,NA
Scomberomorus_guttatus_711,2013,5546000,NA
Scomberomorus_guttatus_711,2014,21168000,NA
Scomberomorus_guttatus_711,2015,2788000,NA
Scomberomorus_guttatus_711,2016,3009000,NA
Scomberomorus_guttatus_711,2017,105801,NA
Scomberomorus_guttatus_711,2018,5214120,NA
Scomberomorus_guttatus_711,2019,12498784,NA
Scomberomorus_guttatus_711,2020,4731036,NA
Scomberomorus_guttatus_711,2021,6361296,NA
Scomberomorus_guttatus_711,2022,5225301,NA
Scomberomorus_guttatus_711,2023,4584708,NA
Scomberomorus_guttatus_711,2024,6652054,NA
Euthynnus_affinis_711,2005,13673000,NA
Euthynnus_affinis_711,2006,19541000,NA
Euthynnus_affinis_711,2007,15478000,NA
Euthynnus_affinis_711,2008,10421000,NA
Euthynnus_affinis_711,2009,7600000,NA
Euthynnus_affinis_711,2010,10345000,NA
Euthynnus_affinis_711,2011,9479000,NA
Euthynnus_affinis_711,2012,12456000,NA
Euthynnus_affinis_711,2013,8087000,NA
Euthynnus_affinis_711,2014,17249000,NA
Euthynnus_affinis_711,2015,2611000,NA
Euthynnus_affinis_711,2016,276000,NA
Auxis_thazard_711,2005,45343000,NA
Auxis_thazard_711,2006,20530000,NA
Auxis_thazard_711,2007,21596000,NA
Auxis_thazard_711,2008,34984000,NA
Auxis_thazard_711,2009,35170000,NA
Auxis_thazard_711,2010,17519000,NA
Auxis_thazard_711,2011,20305000,NA
Auxis_thazard_711,2012,25340000,NA
Auxis_thazard_711,2013,17782000,NA
Auxis_thazard_711,2014,17361000,NA
Auxis_thazard_711,2015,5693000,NA
Auxis_thazard_711,2016,2308000,NA
Thunnus_obesus_711,2010,266000,NA
Thunnus_obesus_711,2011,199000,NA
Thunnus_obesus_711,2012,1173000,NA
Thunnus_obesus_711,2013,1322000,NA
Thunnus_obesus_711,2014,136000,NA
Thunnus_obesus_711,2015,1421000,NA
Thunnus_obesus_711,2016,214000,NA
Thunnus_obesus_711,2017,11857,NA
Thunnus_obesus_711,2018,180531,NA
Thunnus_obesus_711,2019,14464,NA
Banyar_711,2005,3759000,NA
Banyar_711,2006,1411000,NA
Banyar_711,2007,1326000,NA
Banyar_711,2008,2182000,NA
Banyar_711,2009,2206000,NA
Banyar_711,2010,2088000,NA
Banyar_711,2011,2193000,NA
Banyar_711,2012,2302000,NA
Banyar_711,2013,2202000,NA
Banyar_711,2014,1353000,NA
Banyar_711,2015,4807000,NA
Banyar_711,2016,2088000,NA
Valamugil_seheli_711,2005,4793000,NA
Valamugil_seheli_711,2006,4882000,NA
Valamugil_seheli_711,2007,6963000,NA
Valamugil_seheli_711,2008,8364000,NA
Valamugil_seheli_711,2009,9381000,NA
Valamugil_seheli_711,2010,10265000,NA
Valamugil_seheli_711,2011,10029000,NA
Valamugil_seheli_711,2012,8143000,NA
Valamugil_seheli_711,2013,7173000,NA
Valamugil_seheli_711,2014,9945000,NA
Valamugil_seheli_711,2015,6409000,NA
Valamugil_seheli_711,2016,6047000,NA
Valamugil_seheli_711,2017,4192430,NA
Valamugil_seheli_711,2018,9521822,NA
Valamugil_seheli_711,2019,19667791,NA
Valamugil_seheli_711,2020,15132062,NA
Valamugil_seheli_711,2021,16377404,NA
Valamugil_seheli_711,2022,8523903,NA
Valamugil_seheli_711,2023,13426172,NA
Valamugil_seheli_711,2024,5832635,NA
Bentong_711,2006,420000,NA
Bentong_711,2007,222000,NA
Bentong_711,2008,674000,NA
Bentong_711,2009,461000,NA
Bentong_711,2010,567000,NA
Bentong_711,2011,928000,NA
Bentong_711,2012,1257000,NA
Bentong_711,2013,1170000,NA
Bentong_711,2014,951000,NA
Bentong_711,2015,1046000,NA
Bentong_711,2016,1069000,NA
Belonidae_711,2008,5000,NA
Belonidae_711,2009,859000,NA
Belonidae_711,2010,477000,NA
Belonidae_711,2011,651000,NA
Belonidae_711,2012,896000,NA
Belonidae_711,2013,726000,NA
Belonidae_711,2014,561000,NA
Belonidae_711,2015,264000,NA
Belonidae_711,2016,454000,NA
Belonidae_711,2017,107950,NA
Belonidae_711,2018,614995,NA
Belonidae_711,2019,825808,NA
Belonidae_711,2020,604833,NA
Belonidae_711,2021,550927,NA
Belonidae_711,2022,302026,NA
Belonidae_711,2023,424424,NA
Belonidae_711,2024,62228,NA
Dussumieria_acuta_711,2005,2417000,NA
Dussumieria_acuta_711,2006,2812000,NA
Dussumieria_acuta_711,2007,2835000,NA
Dussumieria_acuta_711,2008,2615000,NA
Dussumieria_acuta_711,2009,2748000,NA
Dussumieria_acuta_711,2010,3434000,NA
Dussumieria_acuta_711,2011,1011000,NA
Dussumieria_acuta_711,2012,10778000,NA
Dussumieria_acuta_711,2013,15366000,NA
Dussumieria_acuta_711,2014,12325000,NA
Dussumieria_acuta_711,2015,13899000,NA
Dussumieria_acuta_711,2016,24826000,NA
Dussumieria_acuta_711,2017,10316430,NA
Dussumieria_acuta_711,2018,1706127,NA
Dussumieria_acuta_711,2019,5028697,NA
Dussumieria_acuta_711,2020,8470899,NA
Dussumieria_acuta_711,2021,4564537,NA
Dussumieria_acuta_711,2022,3399173,NA
Dussumieria_acuta_711,2023,5424131,NA
Hemiramphus_spp_711,2005,930000,NA
Hemiramphus_spp_711,2006,1904000,NA
Hemiramphus_spp_711,2007,3034000,NA
Hemiramphus_spp_711,2008,2839000,NA
Hemiramphus_spp_711,2009,2870000,NA
Hemiramphus_spp_711,2010,2162000,NA
Hemiramphus_spp_711,2011,2207000,NA
Hemiramphus_spp_711,2012,427000,NA
Hemiramphus_spp_711,2013,443000,NA
Hemiramphus_spp_711,2014,498000,NA
Hemiramphus_spp_711,2015,1081000,NA
Hemiramphus_spp_711,2016,1194000,NA
Hemiramphus_spp_711,2017,290263,NA
Hemiramphus_spp_711,2018,430745,NA
Hemiramphus_spp_711,2019,707181,NA
Hemiramphus_spp_711,2020,1346563,NA
Hemiramphus_spp_711,2021,1138684,NA
Hemiramphus_spp_711,2022,354605,NA
Hemiramphus_spp_711,2023,1337393,NA
Hemiramphus_spp_711,2024,887703,NA
Rastrelliger_faughni_711,2005,10368000,NA
Rastrelliger_faughni_711,2006,10744000,NA
Rastrelliger_faughni_711,2007,10558000,NA
Rastrelliger_faughni_711,2008,19752000,NA
Rastrelliger_faughni_711,2009,18451000,NA
Rastrelliger_faughni_711,2010,20149000,NA
Rastrelliger_faughni_711,2011,21305000,NA
Rastrelliger_faughni_711,2012,22786000,NA
Rastrelliger_faughni_711,2013,23223000,NA
Rastrelliger_faughni_711,2014,20044000,NA
Rastrelliger_faughni_711,2015,20407000,NA
Rastrelliger_faughni_711,2016,12959000,NA
Rastrelliger_faughni_711,2017,22778824,NA
Decapterus_russelli_711,2015,2103000,NA
Decapterus_russelli_711,2016,2068000,NA
Decapterus_russelli_711,2017,3674486,NA
Decapterus_russelli_711,2018,8425712,NA
Decapterus_russelli_711,2019,3125228,NA
Decapterus_russelli_711,2020,4178570,NA
Decapterus_russelli_711,2021,22469769,NA
Decapterus_russelli_711,2022,8820880,NA
Decapterus_russelli_711,2023,10494255,NA
Decapterus_russelli_711,2024,15592807,NA
Decapterus_macarellus_711,2005,32374000,NA
Decapterus_macarellus_711,2006,10179000,NA
Decapterus_macarellus_711,2007,7332000,NA
Decapterus_macarellus_711,2008,5300000,NA
Decapterus_macarellus_711,2009,3956000,NA
Decapterus_macarellus_711,2010,6727000,NA
Decapterus_macarellus_711,2011,6335000,NA
Decapterus_macarellus_711,2012,11087000,NA
Decapterus_macarellus_711,2013,13118000,NA
Decapterus_macarellus_711,2014,14174000,NA
Decapterus_macarellus_711,2015,223000,NA
Anodontostoma_chacunda_711,2005,426000,NA
Anodontostoma_chacunda_711,2006,303000,NA
Anodontostoma_chacunda_711,2007,2183000,NA
Anodontostoma_chacunda_711,2008,2340000,NA
Anodontostoma_chacunda_711,2009,2418000,NA
Anodontostoma_chacunda_711,2010,4552000,NA
Anodontostoma_chacunda_711,2011,3315000,NA
Anodontostoma_chacunda_711,2012,5794000,NA
Anodontostoma_chacunda_711,2013,5392000,NA
Anodontostoma_chacunda_711,2014,6276000,NA
Anodontostoma_chacunda_711,2015,9221000,NA
Anodontostoma_chacunda_711,2016,4514000,NA
Anodontostoma_chacunda_711,2017,15530958,NA
Anodontostoma_chacunda_711,2018,2919045,NA
Anodontostoma_chacunda_711,2019,3133064,NA
Anodontostoma_chacunda_711,2020,2023783,NA
Anodontostoma_chacunda_711,2021,3048258,NA
Anodontostoma_chacunda_711,2022,3048289,NA
Anodontostoma_chacunda_711,2023,5291416,NA
Anodontostoma_chacunda_711,2024,5586590,NA
Selar_Komo_711,2005,17221000,NA
Selar_Komo_711,2006,16742000,NA
Selar_Komo_711,2007,18159000,NA
Selar_Komo_711,2008,19490000,NA
Selar_Komo_711,2009,19299000,NA
Selar_Komo_711,2010,27028000,NA
Selar_Komo_711,2011,28415000,NA
Selar_Komo_711,2012,18362000,NA
Selar_Komo_711,2013,19391000,NA
Selar_Komo_711,2014,21475000,NA
Selar_Komo_711,2015,5364000,NA
Selar_Komo_711,2016,2700000,NA
Selar_Komo_711,2017,74385,NA
Amblygaster_sirm_711,2008,225000,NA
Amblygaster_sirm_711,2009,537000,NA
Amblygaster_sirm_711,2010,305000,NA
Amblygaster_sirm_711,2011,455000,NA
Amblygaster_sirm_711,2012,14120000,NA
Amblygaster_sirm_711,2013,11664000,NA
Amblygaster_sirm_711,2014,3134000,NA
Amblygaster_sirm_711,2015,4418000,NA
Amblygaster_sirm_711,2016,12695000,NA
Amblygaster_sirm_711,2017,6713128,NA
Amblygaster_sirm_711,2018,15378607,NA
Amblygaster_sirm_711,2019,6581632,NA
Amblygaster_sirm_711,2020,8579529,NA
Amblygaster_sirm_711,2021,8060765,NA
Amblygaster_sirm_711,2022,7171209,NA
Amblygaster_sirm_711,2023,6739933,NA
Amblygaster_sirm_711,2024,8773470,NA
Elagatis_bipinnulata_711,2008,90000,NA
Elagatis_bipinnulata_711,2009,413000,NA
Elagatis_bipinnulata_711,2010,402000,NA
Elagatis_bipinnulata_711,2011,579000,NA
Elagatis_bipinnulata_711,2012,603000,NA
Elagatis_bipinnulata_711,2013,524000,NA
Elagatis_bipinnulata_711,2014,474000,NA
Elagatis_bipinnulata_711,2015,289000,NA
Elagatis_bipinnulata_711,2016,238000,NA
Elagatis_bipinnulata_711,2017,27607,NA
Scomberoides_tala_711,2005,2177000,NA
Scomberoides_tala_711,2006,2530000,NA
Scomberoides_tala_711,2007,3000000,NA
Scomberoides_tala_711,2008,1755000,NA
Scomberoides_tala_711,2009,2514000,NA
Scomberoides_tala_711,2010,2250000,NA
Scomberoides_tala_711,2011,2303000,NA
Scomberoides_tala_711,2012,2109000,NA
Scomberoides_tala_711,2013,2435000,NA
Scomberoides_tala_711,2014,3453000,NA
Scomberoides_tala_711,2015,1072000,NA
Scomberoides_tala_711,2016,991000,NA
Scomberoides_tala_711,2017,1256123,NA
Scomberoides_tala_711,2018,5089067,NA
Scomberoides_tala_711,2019,1218943,NA
Scomberoides_tala_711,2020,1843482,NA
Scomberoides_tala_711,2021,2504180,NA
Sardinella_gibbosa_711,2005,18407000,NA
Sardinella_gibbosa_711,2006,16751000,NA
Sardinella_gibbosa_711,2007,18375000,NA
Sardinella_gibbosa_711,2008,20339000,NA
Sardinella_gibbosa_711,2009,21420000,NA
Sardinella_gibbosa_711,2010,24150000,NA
Sardinella_gibbosa_711,2011,39135000,NA
Sardinella_gibbosa_711,2012,30912000,NA
Sardinella_gibbosa_711,2013,30885000,NA
Sardinella_gibbosa_711,2014,21975000,NA
Sardinella_gibbosa_711,2015,15826000,NA
Sardinella_gibbosa_711,2016,29437000,NA
Sardinella_gibbosa_711,2017,13142735,NA
Sardinella_gibbosa_711,2018,19865796,NA
Sardinella_gibbosa_711,2019,15732967,NA
Sardinella_gibbosa_711,2020,14173846,NA
Sardinella_gibbosa_711,2021,14724896,NA
Sardinella_gibbosa_711,2022,17646628,NA
Sardinella_gibbosa_711,2023,18334686,NA
Encrasicholina_spp_711,2005,7447000,NA
Encrasicholina_spp_711,2006,8541000,NA
Encrasicholina_spp_711,2007,13288000,NA
Encrasicholina_spp_711,2008,25332000,NA
Encrasicholina_spp_711,2009,26548000,NA
Encrasicholina_spp_711,2010,10787000,NA
Encrasicholina_spp_711,2011,16304000,NA
Encrasicholina_spp_711,2012,15076000,NA
Encrasicholina_spp_711,2013,11007000,NA
Encrasicholina_spp_711,2014,15131000,NA
Encrasicholina_spp_711,2015,15817000,NA
Encrasicholina_spp_711,2016,14606000,NA
Encrasicholina_spp_711,2017,5748548,NA
Hilsa_toli_711,2014,333000,NA
Hilsa_toli_711,2015,558000,NA
Hilsa_toli_711,2016,87000,NA
Hilsa_toli_711,2017,17445,NA
Hilsa_toli_711,2018,40110,NA
Hilsa_toli_711,2019,266772,NA
Hilsa_toli_711,2020,6188,NA
Hilsa_toli_711,2021,73997,NA
Hilsa_toli_711,2022,2106,NA
Hilsa_toli_711,2023,33582,NA
Hilsa_toli_711,2024,28573,NA
Megalaspis_cordyla_711,2005,2849000,NA
Megalaspis_cordyla_711,2006,4389000,NA
Megalaspis_cordyla_711,2007,3468000,NA
Megalaspis_cordyla_711,2008,4116000,NA
Megalaspis_cordyla_711,2009,5062000,NA
Megalaspis_cordyla_711,2010,5781000,NA
Megalaspis_cordyla_711,2011,5892000,NA
Megalaspis_cordyla_711,2012,4444000,NA
Megalaspis_cordyla_711,2013,6014000,NA
Megalaspis_cordyla_711,2014,7706000,NA
Megalaspis_cordyla_711,2015,11877000,NA
Megalaspis_cordyla_711,2016,10029000,NA
Megalaspis_cordyla_711,2017,2466219,NA
